,ds,yhat_lower,yhat_upper,yhat,y
729,10/6/40,-0.293847767,0.246876581,-0.01979317,0.0993
730,11/6/40,-0.263583195,0.244344213,-0.024349213,0.1004
731,12/6/40,-0.245116503,0.251143497,-0.007316855,0.2683
732,1/6/41,-0.28618349,0.208795275,-0.029462276,0.1802
733,2/6/41,-0.273337367,0.20932102,-0.029808763,0.227
734,3/6/41,-0.257241061,0.253715249,-0.008670269,0.1023
735,4/6/41,-0.258134406,0.233574619,-0.01127324,0.2229
736,5/6/41,-0.258114493,0.236188913,-0.013160675,0.2446
737,6/6/41,-0.277374521,0.239045811,-0.013988521,0.1614
738,7/6/41,-0.282178954,0.240892026,-0.014123406,0.2069
739,8/6/41,-0.272351487,0.249564693,-0.0136413,0.1736
740,9/6/41,-0.279266724,0.245625479,-0.01033961,0.0881
741,10/6/41,-0.272370801,0.251616285,-0.011927642,0.313
742,11/6/41,-0.271876435,0.23386603,-0.014603755,0.2212
743,12/6/41,-0.263528777,0.247935341,-0.010131812,0.2108
744,1/6/42,-0.267628448,0.244582362,-0.021026782,0.2983
745,2/6/42,-0.280677951,0.238074861,-0.020610965,0.0971
746,3/6/42,-0.261987287,0.250937132,-0.004534531,0.1771
747,4/6/42,-0.256128927,0.236377998,-0.009373445,0.19
748,5/6/42,-0.275890049,0.225882194,-0.012869432,0.1665
749,6/6/42,-0.277980281,0.247475708,-0.008669011,0.2098
750,7/6/42,-0.275955816,0.244285967,-0.009275511,0.0768
751,8/6/42,-0.255289514,0.256813404,-0.008478932,0.044
752,9/6/42,-0.281616152,0.256508575,-0.009178847,0.1179
753,10/6/42,-0.270746029,0.246046983,-0.007437771,0.1495
754,11/6/42,-0.260755096,0.228358326,-0.007872004,0.167
755,12/6/42,-0.26209265,0.23476088,-0.015345189,0.1515
756,1/6/43,-0.283151421,0.243009274,-0.01433883,-0.0241
757,2/6/43,-0.263442719,0.265487481,-0.012842796,0.1683
758,3/6/43,-0.263576886,0.241751561,-0.001490078,0.0762
759,4/6/43,-0.267261825,0.247022453,-0.008012582,0.1726
760,5/6/43,-0.246596438,0.261936962,-0.012511414,0.1326
761,6/6/43,-0.259115113,0.242308284,-0.003265931,0.0245
762,7/6/43,-0.257348387,0.239360889,-0.004421838,0.183
763,8/6/43,-0.283297627,0.262772685,-0.003368436,0.0992
764,9/6/43,-0.261127554,0.238932308,-0.008037764,0.1425
765,10/6/43,-0.266091243,0.273687924,-0.002919602,0.3095
766,11/6/43,-0.263013299,0.252603561,-0.001248294,0.2459
767,12/6/43,-0.260104338,0.244656334,-0.020523069,0.3539
768,1/6/44,-0.253614859,0.247705765,-0.007473548,0.4241
769,2/6/44,-0.248230615,0.23984075,-0.005080904,0.3032
770,3/6/44,-0.251961047,0.255690737,0.003110919,0.3676
771,4/6/44,-0.252494995,0.253527572,0.001799007,0.2718
772,5/6/44,-0.253164974,0.258281777,0.000679759,0.2618
773,6/6/44,-0.254198293,0.252173402,-0.005154047,0.3348
774,7/6/44,-0.256129198,0.258907739,-0.004893983,0.3145
775,8/6/44,-0.256918667,0.24633078,-0.004784734,0.2804
776,9/6/44,-0.269413438,0.263746888,0.002547034,0.3855
777,10/6/44,-0.278683215,0.258218436,-0.002319112,0.323
778,11/6/44,-0.267719287,0.255119136,-0.007373072,0.1518
779,12/6/44,-0.24773616,0.275008476,0.009177429,0.0951
780,1/6/45,-0.26458936,0.251737337,-0.013465909,0.1535
781,2/6/45,-0.274142585,0.234659328,-0.014310315,0.0149
782,3/6/45,-0.250176066,0.25829699,0.006378448,0.1072
783,4/6/45,-0.250050426,0.255315558,0.003277559,0.2764
784,5/6/45,-0.258220789,0.267445564,0.000908268,0.1761
785,6/6/45,-0.261128277,0.259085901,8.04E-05,0.1413
786,7/6/45,-0.25164218,0.278341221,-5.45E-05,0.1652
787,8/6/45,-0.253511492,0.263669073,0.000427643,0.3546
788,9/6/45,-0.257573573,0.282354181,0.003729333,0.2578
789,10/6/45,-0.258200571,0.253737844,0.001905851,0.2569
790,11/6/45,-0.252118401,0.264253342,-0.001013561,0.1955
791,12/6/45,-0.247654762,0.271323106,0.003222932,-0.0475
792,1/6/46,-0.278599183,0.255435286,-0.007915337,0.2209
793,2/6/46,-0.276099113,0.257742955,-0.007742818,0.0888
794,3/6/46,-0.267792695,0.271341889,0.008113863,0.0005
795,4/6/46,-0.275225649,0.272978418,0.003031649,0.1768
796,5/6/46,-0.253018914,0.268582803,-0.000699787,-0.0298
797,6/6/46,-0.254169816,0.251936641,0.003257335,-0.1016
798,7/6/46,-0.275251382,0.252494775,0.002415384,-0.0367
799,8/6/46,-0.254290343,0.266316491,0.002968665,-0.0697
800,9/6/46,-0.267736616,0.239784084,0.002025452,-0.0164
801,10/6/46,-0.254216316,0.268729879,0.003531078,-0.0057
802,11/6/46,-0.246231444,0.248721275,0.002853545,-0.0119
803,12/6/46,-0.275240397,0.247118826,-0.004855089,-0.2636
804,1/6/47,-0.265129228,0.252767422,-0.004092029,-0.1816
805,2/6/47,-0.25373701,0.2564195,-0.002839294,-0.0774
806,3/6/47,-0.251098146,0.281196113,0.008293671,-0.0079
807,4/6/47,-0.241774315,0.237150606,0.001527868,0.0143
808,5/6/47,-0.26939798,0.255391105,-0.003206414,-0.019
809,6/6/47,-0.250718421,0.256022345,0.005795771,0.0208
810,7/6/47,-0.265145281,0.252994887,0.004404413,-0.0138
811,8/6/47,-0.264352308,0.275084179,0.005214517,-0.0623
812,9/6/47,-0.25124049,0.273289819,0.00030189,-0.1306
813,10/6/47,-0.263749604,0.246577962,0.005184602,0.0549
814,11/6/47,-0.25681084,0.276100589,0.006612611,-0.0238
815,12/6/47,-0.288600883,0.236028251,-0.012897614,-0.1463
816,1/6/48,-0.276644321,0.246880926,-9.14E-05,0.0535
817,2/6/48,-0.271445164,0.275028153,0.002057954,-0.0906
818,3/6/48,-0.237460383,0.286237962,0.010022175,-0.1841
819,4/6/48,-0.244837607,0.248768992,0.008466964,-0.0646
820,5/6/48,-0.263656783,0.251777741,0.007112267,0.1427
821,6/6/48,-0.24730059,0.277498095,0.001035162,-0.015
822,7/6/48,-0.253765015,0.246394518,0.001059775,-0.0622
823,8/6/48,-0.247544459,0.262607335,0.000925726,-0.0282
824,9/6/48,-0.263921298,0.260084676,0.008014195,-0.1032
825,10/6/48,-0.264475467,0.290962658,0.002912599,-0.065
826,11/6/48,-0.258781443,0.246813151,-0.00238466,-0.056
827,12/6/48,-0.243554355,0.271652529,0.013930392,-0.1121
828,1/6/49,-0.270341445,0.260308626,-0.008956245,0.1209
829,2/6/49,-0.277058696,0.228461582,-0.010043949,-0.1476
830,3/6/49,-0.239977393,0.275820083,0.01042506,-0.0732
831,4/6/49,-0.254192373,0.282938998,0.007080872,0.0076
832,5/6/49,-0.235296649,0.270268777,0.004476131,-0.0063
833,6/6/49,-0.253029118,0.257050018,0.003404986,-0.1486
834,7/6/49,-0.267677064,0.245404198,0.003034652,-0.077
835,8/6/49,-0.239659154,0.27211008,0.003273459,-0.0217
836,9/6/49,-0.234836542,0.253698942,0.00633185,-0.0701
837,10/6/49,-0.249961709,0.264659641,0.004508367,-0.0297
838,11/6/49,-0.249637623,0.247196737,0.001588956,-0.0534
839,12/6/49,-0.275575204,0.243717688,0.005825449,-0.1821
840,1/6/50,-0.252825436,0.247702111,-0.00531282,-0.2777
